va,vb,exp,sim,sign_error,exp_error,man_error
109e,4a25,1f18,1f17,False,0,1
3114,8f57,84a9,84a8,False,0,1
eab0,1374,c23b,c23a,False,0,1
ec5e,2c07,dc66,dc65,False,0,1
5fde,80c0,9de6,a4ab,False,-2,315
1a74,185f,0071,0000,False,0,113
d4d1,15b2,aedc,aedb,False,0,1
fb99,bd06,7c00,7cc5,False,0,-197
6158,334c,58e0,58df,False,0,1
0f7e,3d50,10fa,10f9,False,0,1
2212,1b72,02d3,0000,False,0,723
11ce,8fb9,8006,8000,False,0,6
4e0a,6fd0,7c00,01e5,False,31,-485
0b04,182a,0007,0000,False,0,7
c501,e057,696e,696d,False,0,1
b93c,6612,e3f2,e3f1,False,0,1
f003,3763,eb69,eb68,False,0,1
ad7e,1223,8437,8436,False,0,1
1105,958f,800e,8000,False,0,14
6f72,3768,6ae5,6ae4,False,0,1
2eb8,3848,2b31,2b30,False,0,1
381a,79f2,7619,7618,False,0,1
8d84,bf66,111a,1119,False,0,1
9a2d,bc77,1ae5,1ae4,False,0,1
9c87,16c7,807b,8000,False,0,123
9d74,8d88,001e,0000,False,0,30
e388,284c,d00c,d00b,False,0,1
b5fc,4146,bbe4,bbe3,False,0,1
f5d9,4387,fc00,fd80,False,0,-384
9eb8,83d2,0006,0000,False,0,6
bf57,0e81,91f8,91f7,False,0,1
2171,2210,0820,081f,False,0,1
8824,32fe,81cf,8000,False,0,463
3deb,8292,83ce,84dc,False,-1,754
addc,f1b3,642d,642c,False,0,1
83e2,e7fb,2fbf,2fdd,False,0,-30
a0fa,b454,1963,1962,False,0,1
6002,9b3b,bf3f,bf3e,False,0,1
dcf4,0c97,adaf,adae,False,0,1
43b0,92d0,9a8c,9a8b,False,0,1
7a3e,0a6b,4902,4901,False,0,1
10f3,0ed4,0004,0000,False,0,4
9240,b4fc,0bca,0bc9,False,0,1
d989,3514,d307,d306,False,0,1
24a9,b72e,a02f,a02e,False,0,1
d95c,8984,2764,2763,False,0,1
984a,d6a5,3320,331f,False,0,1
d987,33f4,d17f,d17e,False,0,1
8cdf,6598,b6d0,b6cf,False,0,1
aab2,1a60,8956,8955,False,0,1
42fd,6199,68e4,68e3,False,0,1
23a4,004b,0001,0000,False,0,1
3ed1,4115,4455,4454,False,0,1
ab22,59a0,c904,c903,False,0,1
8027,58cc,8dd9,9cfa,False,-4,223
ef14,c212,755f,755e,False,0,1
d5fe,ca57,64c0,64bf,False,0,1
a928,8680,0043,0000,False,0,67
f359,984c,4fe5,4fe4,False,0,1
f47e,986e,50fa,50f9,False,0,1
87c3,1c81,8009,8000,False,0,9
2675,7648,6112,6111,False,0,1
d164,1dba,b3b8,b3b7,False,0,1
dfe0,a8df,4ccc,4ccb,False,0,1
93a0,95d4,0016,0000,False,0,22
c746,8c08,1755,1754,False,0,1
4661,6d5e,7848,7847,False,0,1
e274,1ad0,c17f,c17e,False,0,1
43d5,3d42,4526,4525,False,0,1
f7c0,a3c6,5f88,5f87,False,0,1
1e55,7b7a,5deb,5dea,False,0,1
d169,68eb,fc00,fea6,False,0,-678
9095,12e0,8008,8000,False,0,8
a564,05f6,8020,8000,False,0,32
8ef1,f4e8,4842,4841,False,0,1
1418,efcb,c7fa,c7f9,False,0,1
59c6,d3e8,f1b5,f1b4,False,0,1
b3c2,2a3b,a20b,a20a,False,0,1
99b8,2211,822b,8000,False,0,555
9a61,0668,8005,8000,False,0,5
59a6,8000,8000,9da6,False,-7,-422
e4a0,3d53,e628,e627,False,0,1
1569,4aa4,247e,247d,False,0,1
2910,067a,0042,0000,False,0,66
9996,ebb5,4962,4961,False,0,1
4dd3,677d,7974,7973,False,0,1
bb16,6167,e0c9,e0c8,False,0,1
5229,b3f4,ca20,ca1f,False,0,1
6118,1e0d,43b5,43b4,False,0,1
936c,30ff,88a3,88a2,False,0,1
4091,3bc6,4070,406f,False,0,1
1d18,139e,004e,0000,False,0,78
0a6f,2856,0070,0000,False,0,112
8555,1a8d,8004,8000,False,0,4
8f63,22ce,8065,8000,False,0,101
6695,0404,2e9c,2e9b,False,0,1
b533,5db0,d765,d764,False,0,1
730a,28b2,6022,6021,False,0,1
5741,0064,11ab,1bf6,False,-2,-587
a1d9,09e5,8022,8000,False,0,34
809e,6622,a392,ab14,False,-2,126
49e2,9ae6,a913,a912,False,0,1
26ec,b323,9e2d,9e2c,False,0,1
b3ec,14f5,8ce9,8ce8,False,0,1
882c,59b7,a5f6,a5f5,False,0,1
8e09,37bc,89d6,89d5,False,0,1
9cd8,8666,0008,0000,False,0,8
5b12,bf7a,de9c,de9b,False,0,1
6434,c3ce,ec1a,ec19,False,0,1
badf,1605,952c,952b,False,0,1
ec18,b628,664d,664c,False,0,1
9b5f,b1c7,1153,1152,False,0,1
9785,2190,814f,8000,False,0,335
c750,de18,6992,6991,False,0,1
345b,642a,5c89,5c88,False,0,1
dab9,e206,7c00,010f,False,31,-271
df07,a881,4bea,4be9,False,0,1
a038,054f,800b,8000,False,0,11
b1e0,5701,cd25,cd24,False,0,1
7387,a724,deb8,deb7,False,0,1
3a33,fb47,f9a4,f9a3,False,0,1
805a,c5ad,01ff,0a2c,False,-2,-45
3891,1765,1439,1438,False,0,1
b276,9920,1024,1023,False,0,1
1206,15fa,0012,0000,False,0,18
c64b,7543,fc00,8023,False,31,-35
42bf,8a24,912e,912d,False,0,1
39f0,3353,3170,316f,False,0,1
a24f,8684,0015,0000,False,0,21
9186,d363,291a,2919,False,0,1
eb60,8cb4,3c56,3c55,False,0,1
742e,b9fb,f240,f23f,False,0,1
3ea7,af5a,b21d,b21c,False,0,1
6216,b9d9,e073,e072,False,0,1
3910,6c8e,69c4,69c3,False,0,1
23b9,d4c1,bc97,bc96,False,0,1
9c80,da6e,3b3c,3b3b,False,0,1
85a0,2b43,8052,8000,False,0,82
d2d6,df7f,7668,7667,False,0,1
c20c,488a,cedd,cedc,False,0,1
2324,d495,bc17,bc16,False,0,1
0118,9788,8001,8000,False,0,1
143a,a40f,8112,8000,False,0,274
15ee,119d,0011,0000,False,0,17
25f8,0b19,0055,0000,False,0,85
2a04,05c2,0045,0000,False,0,69
21a8,978e,8156,8000,False,0,342
5402,6417,7c00,7c19,False,0,-25
5cd0,4a35,6b78,6b77,False,0,1
bdb3,5dca,e020,e01f,False,0,1
19be,ee66,cc98,cc97,False,0,1
d23e,953b,2c15,2c14,False,0,1
2189,2033,05d0,05cf,False,0,1
1eba,20d7,0412,0411,False,0,1
35a6,991e,933a,9339,False,0,1
3632,73cc,6e0a,6e09,False,0,1
4582,f0fb,fadc,fadb,False,0,1
a566,8e8d,008d,0000,False,0,141
ed84,4fb4,fc00,814f,False,31,-335
d230,b336,4994,4993,False,0,1
22b2,e311,c9ea,c9e9,False,0,1
aaf5,11a8,8276,8000,False,0,630
e848,4753,f3d7,f3d6,False,0,1
1201,435c,1986,1985,False,0,1
aeb0,05e6,809e,8000,False,0,158
892c,11e6,8002,8000,False,0,2
9411,ec69,447c,447b,False,0,1
c3d9,4805,cfe3,cfe2,False,0,1
c1a4,1a08,a041,a040,False,0,1
013b,7492,35a0,39f9,False,-1,-89
8d0d,a427,0054,0000,False,0,84
9709,3489,8ffa,8ff9,False,0,1
b2a8,ef97,6651,6650,False,0,1
8dac,d06b,2244,2243,False,0,1
341b,31e8,2a10,2a0f,False,0,1
cf3b,39c8,cd3a,cd39,False,0,1
05a7,4037,09f5,09f4,False,0,1
dcf0,4c14,ed09,ed08,False,0,1
c2d4,dae4,61e2,61e1,False,0,1
8e74,14e2,8008,8000,False,0,8
5484,8018,86c6,989f,False,-5,551
9866,93a2,0022,0000,False,0,34
8cd2,4577,9696,9695,False,0,1
6b44,5284,7c00,01ea,False,31,-490
cac0,170e,a5f4,a5f3,False,0,1
6f6c,16b8,4a3c,4a3b,False,0,1
5aea,ae40,cd67,cd66,False,0,1
9698,1533,8022,8000,False,0,34
07e7,1f83,000f,0000,False,0,15
2cfe,33db,24e7,24e6,False,0,1
2bce,0607,005e,0000,False,0,94
257b,ec30,d5bd,d5bc,False,0,1
7773,248f,603f,603e,False,0,1
a212,fb68,619f,619e,False,0,1
1dcf,b368,9561,9560,False,0,1
05fc,96f0,8003,8000,False,0,3
f3f2,2bb4,e3a7,e3a6,False,0,1
98f9,457a,a2cf,a2ce,False,0,1
9459,5873,b0d6,b0d5,False,0,1
ca99,a2e4,31af,31ae,False,0,1
e52d,d328,7c00,7ca1,False,0,-161
5f48,58d3,7c00,7c64,False,0,-100
4df3,26f8,392f,392e,False,0,1
3077,e534,d9cf,d9ce,False,0,1
23ae,8413,8010,8000,False,0,16
b530,bc9e,35fd,35fc,False,0,1
c644,b544,4020,401f,False,0,1
