va,vb,exp,sim,sign_error,exp_error,man_error
8000,a7e8,a7e8,a7ea,False,0,-2
81b4,8cd5,8d42,8d8c,False,0,-74
02a4,115a,11ae,11c4,False,0,-22
13d5,8276,1386,136e,False,0,24
0e37,9092,89da,8aed,False,0,-275
a4ab,3421,33ad,33ac,False,0,1
9200,1245,0228,0022,False,0,518
0001,0650,0651,0828,False,-1,553
0184,0a48,0b0a,0ba9,False,0,-159
845a,81d0,862a,8742,False,0,-280
3438,a749,3387,3386,False,0,1
0864,87bd,010b,002c,False,0,223
9300,034a,9297,928b,False,0,12
0048,0f90,0fa2,100c,False,-1,918
8182,2030,202d,202a,False,0,3
0461,01d7,0638,074c,False,0,-276
8288,a822,a823,a824,False,0,-1
77fb,7bff,7c00,7dfe,False,0,-510
4ed2,e803,e7eb,e7ea,False,0,1
8a6e,0c5b,0490,0524,False,0,-148
8142,9728,973c,9752,False,0,-22
faee,f5bf,fc00,fce7,False,0,-231
0c4c,0044,0c5d,0cd4,False,0,-119
8716,3800,3800,3400,False,1,0
0cdf,8190,0c7b,0c2d,False,0,78
0b80,87c5,073b,079e,False,0,-99
1afd,80bc,1af7,1aea,False,0,13
9558,0297,952f,9523,False,0,12
02c6,8402,813c,80f8,False,0,68
5464,c6a9,53f3,53f2,False,0,1
040a,8478,806e,82e0,False,0,-626
118a,92b1,889c,8a4e,False,0,-434
15df,0243,1603,1611,False,0,-14
8b80,80b3,8bda,8c56,False,-1,900
022a,1d1a,1d23,1d26,False,0,-3
2e7d,013d,2e7d,2e7e,False,0,-1
9e63,023f,9e5a,9e57,False,0,3
e5f5,fbff,fc00,fc17,False,0,-23
0c99,0115,0cde,0d3c,False,0,-94
98b3,0155,98a8,989e,False,0,10
86c4,09e9,050e,0687,False,0,-377
61a4,7bff,7c00,7c0b,False,0,-11
0c74,8946,0744,05d1,False,0,371
7bff,4ccc,7c00,7800,False,1,0
81cc,8988,8a6e,8afb,False,0,-141
f737,f9cd,fc00,fcb4,False,0,-180
0218,0e01,0e87,0ec4,False,0,-61
2504,01be,2506,2507,False,0,-1
8291,9a6c,9a81,9a86,False,0,-5
224f,a993,a7fe,a7ff,False,0,-1
938c,8270,93da,93f3,False,0,-25
118c,03cd,1206,1209,False,0,-3
03f4,8aee,88f4,88f1,False,0,3
922e,10d0,8978,8abc,False,0,-324
1002,8d08,09f8,0afc,False,0,-260
8278,a5b2,a5b4,a5b5,False,0,-1
80d0,07c4,06f4,055c,False,0,408
9b05,1ab0,8950,88aa,False,0,166
a6f8,0238,a6f6,a6f5,False,0,1
0160,d400,d400,d000,False,1,0
0c72,014c,0cc5,0d1c,False,0,-87
81d0,a68a,a68c,a68d,False,0,-1
0ffa,0000,0ffa,103d,False,-1,957
0b39,88e8,04a2,0651,False,0,-431
943e,0194,9425,9411,False,0,20
5c24,d50b,59c2,59c3,False,0,-1
81c9,03aa,01e1,0384,False,0,-419
42fb,c9bc,c7fa,c7fb,False,0,-1
00d0,a05a,a058,a055,False,0,3
944e,0d43,91fa,91fb,False,0,-1
8763,0c1d,0888,0889,False,0,-1
82c6,1e1a,1e0f,1e0c,False,0,3
37b5,b7ac,1880,1920,False,0,-160
f5ae,fb7b,fc00,fd29,False,0,-297
011b,9ba0,9b97,9b8c,False,0,11
0229,8ae0,89cc,8956,False,0,118
8230,2148,2144,2142,False,0,2
87c1,0ab8,05af,06d8,False,0,-297
83df,0086,8359,82b2,False,0,167
85a5,086d,0335,00cd,False,0,616
00d0,28a5,28a5,28a6,False,0,-1
7b1a,6fa3,7c00,7c07,False,0,-7
71b4,7b5d,7c00,7c65,False,0,-101
05b6,0058,060e,07e2,False,0,-468
d42f,488e,d33a,d33b,False,0,-1
03b3,13e8,142f,1432,False,0,-3
0396,95e5,95ac,95a8,False,0,4
1934,0084,1938,1946,False,0,-14
8cf3,83ee,8dee,8df1,False,0,-3
9b89,1bce,0850,088a,False,0,-58
00fe,1fd9,1fdd,1fe3,False,0,-6
1960,02bb,1976,197b,False,0,-5
9c3b,121e,9aee,9aef,False,0,-1
2010,03ae,2017,2018,False,0,-1
3894,b39b,355a,355b,False,0,-1
9450,8170,9467,947c,False,0,-21
79d1,7bff,7c00,7ee8,False,0,-744
03ff,0516,088a,088b,False,0,-1
9031,0505,8f21,8f20,False,0,1
8094,abb0,abb0,abb1,False,0,-1
0a76,8cbb,8600,8580,False,0,128
02af,0a54,0bac,0800,False,0,940
8a87,0645,86c9,8764,False,0,-155
8604,0542,80c2,8210,False,0,-334
117f,0390,11f1,11f8,False,0,-7
92c4,83a2,9338,933e,False,0,-6
8105,2d13,2d13,2d12,False,0,1
800d,8ccc,8ccf,8d4e,False,0,-127
2b7f,02a8,2b80,2b81,False,0,-1
8042,ad90,ad90,ad91,False,0,-1
159f,00a2,15a9,15c4,False,0,-27
55bc,e436,e3b4,e3b5,False,0,-1
8e90,0d30,8580,8560,False,0,32
09bb,8582,05f4,06fa,False,0,-262
1023,91ec,8b24,8b92,False,0,-110
83fd,0f00,0e01,0e00,False,0,1
00d2,8b29,8ac0,89f4,False,0,204
00c0,a7ac,a7ab,a7aa,False,0,1
81df,964c,966a,967b,False,0,-17
72bd,7b6d,7c00,7c8e,False,0,-142
061a,8380,029a,012d,False,0,365
83d0,03c0,8010,8000,False,0,16
93d9,03a7,9364,935f,False,0,5
0a8c,8c93,8534,854d,False,0,-25
2740,00eb,2741,2742,False,0,-1
eebd,7888,7761,7760,False,0,1
5832,c7b5,57e9,57e8,False,0,1
baba,5803,57f9,57f8,False,0,1
ace0,80b2,ace0,ace1,False,0,-1
8504,8290,8794,8826,False,-1,878
0dd5,8757,0bfe,0bff,False,0,-1
0260,8595,8335,8132,False,0,515
9a61,19f0,8b10,88e2,False,0,558
3ffc,1b30,4000,3c00,False,1,0
f989,f5b3,fc00,fc31,False,0,-49
02f8,28c8,28c9,28ca,False,0,-1
9e54,0237,9e4b,9e48,False,0,3
19ab,93b7,177a,177b,False,0,-1
8d20,0d33,004c,00c0,False,0,-116
0662,bc00,bc00,b800,False,1,0
0345,0916,0ab8,0ae7,False,0,-47
8288,9f06,9f10,9f13,False,0,-3
04e6,894e,85b6,86db,False,0,-293
149d,9595,8bc0,89f0,False,0,464
f086,fbff,fc00,fc90,False,0,-144
845a,0550,00f6,03b0,False,0,-698
02bc,9f94,9f89,9f87,False,0,2
0356,9319,92ae,92a4,False,0,10
960f,0100,95ff,95e7,False,0,24
99e0,8130,99ea,99f5,False,0,-11
8b76,03de,8987,897e,False,0,9
83da,9131,91ac,91af,False,0,-3
0324,16a4,16d6,16dd,False,0,-7
1059,8db3,09fe,0aff,False,0,-257
8c1d,095e,85b8,856e,False,0,74
83ce,8ddd,8ed0,8ed7,False,0,-7
963b,8118,964c,9664,False,0,-24
0a42,82a9,08ee,0898,False,0,86
0f11,900e,842c,8486,False,0,-90
8a2e,8234,8b48,8bbb,False,0,-115
ac41,81c4,ac41,ac42,False,0,-1
8000,a42c,a42c,a42e,False,0,-2
1d0c,81d8,1d05,1d00,False,0,5
81b8,01da,0022,0040,False,0,-30
2f69,8189,2f69,2f68,False,0,1
9dd9,82d6,9de4,9de7,False,0,-3
a13e,0208,a13a,a138,False,0,2
5c0c,ec1f,ebbc,ebbd,False,0,-1
8583,0571,8012,8080,False,0,-110
2364,3be2,3c00,3800,False,1,0
c00d,2eb8,bfae,bfaf,False,0,-1
685c,e3ff,64b8,64b9,False,0,-1
28ee,b49b,b3fa,b3fb,False,0,-1
0ce8,8de6,83f8,807f,False,0,889
1596,8e9b,13de,13df,False,0,-1
6479,d82d,63e7,63e6,False,0,1
fb6a,f0ce,fc00,fc4f,False,0,-79
dc00,0c10,dc00,d800,False,1,0
ac90,8168,ac90,ac91,False,0,-1
0104,2f3c,2f3c,2f3d,False,0,-1
4c34,c4a3,4a16,4a17,False,0,-1
0584,8839,82ee,80bc,False,0,562
17ef,9704,0b58,09d6,False,0,386
0c08,8dc2,86e8,85ba,False,0,302
19bf,a05c,9dd8,9dd9,False,0,-1
07ab,87b9,800e,8300,False,0,-754
01ba,1de7,1dee,1df2,False,0,-4
bc3e,483d,476a,476b,False,0,-1
994d,137f,96da,96db,False,0,-1
1b59,9b56,0060,0200,False,0,-416
81f0,858a,877a,8841,False,-1,825
b107,3899,36ae,36af,False,0,-1
191a,9851,0e48,0f24,False,0,-220
8ad0,0b33,00c6,0230,False,0,-362
87b6,0a34,04b2,0659,False,0,-423
a0f5,8000,a0f5,a0f9,False,0,-4
740e,ee17,7110,7111,False,0,-1
a83a,1bec,a776,a777,False,0,-1
8c66,0a6e,84bc,852f,False,0,-115
89c9,08fc,819a,8268,False,0,-206
7bf5,70e4,7c00,7c97,False,0,-151
1f64,8040,1f63,1f5c,False,0,7
7794,7a24,7c00,7cf7,False,0,-247
ac70,0184,ac70,ac6f,False,0,1
8ad4,0d14,06a8,05aa,False,0,254
0745,8422,0323,0192,False,0,401
496f,c3f3,46e4,46e5,False,0,-1
a4f6,8001,a4f6,a4f8,False,0,-2
8180,0010,8170,81c0,False,0,-80
0583,8c86,8a4a,8a4b,False,0,-1
02b4,9a17,9a01,99fc,False,0,5
0aea,871d,06b7,075c,False,0,-165
8370,9c7b,9c89,9c8a,False,0,-1
7858,7864,7c00,7c5e,False,0,-94
9b4a,8318,9b63,9b66,False,0,-3
5cc0,d7a3,59ae,59af,False,0,-1
ac32,80ac,ac32,ac33,False,0,-1
1cb5,a850,a773,a772,False,0,1
8aa6,0934,82e4,80b9,False,0,555
16e8,025a,170e,171b,False,0,-13
210b,a0cf,0f80,0cf0,False,0,656
1834,ac20,abfd,abfc,False,0,1
954c,1542,80a0,8100,False,0,-96
078e,8360,042e,01ef,False,1,-449
2e7b,01ac,2e7b,2e7c,False,0,-1
934d,11fc,8944,8aa2,False,0,-350
83c8,91b7,9230,9234,False,0,-4
02f7,1268,12c7,12d7,False,0,-16
a7c9,0372,a7c6,a7c5,False,0,1
f750,f906,fc00,fc57,False,0,-87
1295,027c,12e4,12fd,False,0,-25
0254,2035,203a,203b,False,0,-1
e498,5b3e,e360,e361,False,0,-1
d44a,4e8b,d14e,d14f,False,0,-1
81e4,af82,af82,af83,False,0,-1
14fe,8fd3,1212,1213,False,0,-1
997d,2475,238b,238a,False,0,1
00da,a10d,a10b,a108,False,0,3
895e,1415,12d2,12d3,False,0,-1
4ce9,dc4d,dbfd,dbfc,False,0,1
44bc,bc87,4334,4335,False,0,-1
e41b,6c58,6aa2,6aa3,False,0,-1
78e1,7b94,7c00,7e3a,False,0,-570
a55b,2c9f,2a90,2a91,False,0,-1
03de,0bd0,0ce0,0ce4,False,0,-4
80ab,a027,a028,a02c,False,0,-4
8100,a846,a846,a847,False,0,-1
027c,066f,0876,08d6,False,0,-96
18ff,00f0,1906,1913,False,0,-13
9b37,0001,9b37,9b27,False,0,16
0243,1c74,1c7d,1c81,False,0,-4
8138,9c6d,9c72,9c77,False,0,-5
0000,0ab2,0ab2,0bb2,False,0,-256
0dcc,8004,0dcb,0d4c,False,0,127
0478,83a6,00d2,0128,False,0,-86
0296,2a09,2a0a,2a0b,False,0,-1
01ad,8093,011a,0068,False,0,178
0fcf,95d5,93c2,93c3,False,0,-1
0add,888a,04a6,0653,False,0,-429
8675,0558,811d,8074,False,0,169
01df,8a60,8970,88e8,False,0,136
87b9,0858,00f7,03b8,False,0,-705
2e1e,b8b7,b7e6,b7e7,False,0,-1
81e0,1b0a,1afb,1af2,False,0,9
f90f,f60c,fc00,fc0a,False,0,-10
8180,1200,11d0,11a8,False,0,40
0042,1877,1879,1888,False,0,-15
81f8,9099,90d8,90f8,False,0,-32
8294,8769,88fe,895a,False,0,-92
684b,dde6,671c,671d,False,0,-1
c8ac,5828,57ba,57bb,False,0,-1
e335,6ce0,6bf3,6bf2,False,0,1
7886,ef9e,7724,7725,False,0,-1
0345,1c68,1c75,1c77,False,0,-2
99aa,8250,99bc,99c3,False,0,-7
ada9,8094,ada9,adaa,False,0,-1
c46d,3f7f,c11a,c11b,False,0,-1
83ff,82be,86bd,875e,False,0,-161
95ab,1d0f,1b48,1b49,False,0,-1
889d,089c,8002,8000,False,0,2
9534,83d8,9572,9573,False,0,-1
96f8,1768,0700,0470,False,0,656
01d3,8ca0,8c2b,8bcb,False,1,-928
2804,8c51,27f7,27f6,False,0,1
8b1b,0842,85b2,86d9,False,0,-295
12c4,8200,1284,1264,False,0,32
80cc,17b4,17a7,178e,False,0,25
82f4,1216,11b8,11a7,False,0,17
9f18,1f71,0d90,0d64,False,0,44
00e8,a6e8,a6e7,a6e6,False,0,1
2219,a1d4,1050,1228,False,0,-472
000a,26c3,26c3,26c5,False,0,-2
0038,a692,a692,a690,False,0,2
8216,2ae8,2ae7,2ae6,False,0,1
018e,1773,178c,179f,False,0,-19
9768,831f,979a,97a1,False,0,-7
cc73,44ff,ca66,ca67,False,0,-1
e3fd,bd90,e400,e000,False,1,0
dad6,6c0d,6bad,6bac,False,0,1
00d8,8a81,8a15,894b,False,0,202
16fc,02bc,1728,1732,False,0,-10
241b,9353,23c1,23c0,False,0,1
01e3,20b5,20b9,20bb,False,0,-2
87c6,8356,898e,89b8,False,0,-42
9f0c,00d8,9f09,9f02,False,0,7
526d,dcb7,dbd3,dbd2,False,0,1
00f6,ae0f,ae0f,ae0e,False,0,1
2c7b,a5d3,2a0c,2a0d,False,0,-1
02d4,9a17,9a00,99fc,False,0,4
1185,0028,118a,11c8,False,0,-62
4deb,dc1c,db7b,db7a,False,0,1
03d0,0b40,0c94,0c9a,False,0,-6
f4fe,fa11,fc00,fc48,False,0,-72
7b4f,6e0f,7c00,7c08,False,0,-8
9850,0216,983f,9838,False,0,7
939b,13b7,00e0,0300,False,0,-544
48e0,c8df,2000,2080,False,0,-128
2b47,0084,2b47,2b48,False,0,-1
4000,8f8f,4000,3c00,False,1,0
b940,3193,b7b6,b7b7,False,0,-1
84ec,07f5,0309,0184,False,0,389
88e6,0b34,049c,064e,False,0,-434
651e,de3b,631e,631f,False,0,-1
4e9f,d538,d320,d321,False,0,-1
29f4,025a,29f5,29f6,False,0,-1
5bc6,7bff,7c00,7c03,False,0,-3
9c7a,811c,9c7e,9c84,False,0,-6
b6dd,4006,3e55,3e54,False,0,1
502f,c61e,4ed6,4ed7,False,0,-1
dda8,56b3,dbf6,dbf7,False,0,-1
f7c0,fbbd,fc00,fdce,False,0,-462
0a1a,985c,97f5,97f4,False,0,1
9220,003c,9218,91dc,False,0,60
02ac,01f2,049e,064f,False,0,-433
0241,2530,2532,2533,False,0,-1
03a8,8ebb,8dd1,8dc6,False,0,11
27bb,8344,27b8,27b7,False,0,1
0122,a664,a663,a661,False,0,2
875c,82ae,8905,895a,False,0,-85
8bbe,0a14,8354,80d5,False,0,639
83e0,88e4,8ad4,8adc,False,0,-8
a380,00ac,a37f,a37b,False,0,4
1bff,02f8,1c0b,1c0d,False,0,-2
f4b5,fbc5,fc00,fd10,False,0,-272
0f53,003e,0f62,0fdb,False,0,-121
c4a6,5048,4f66,4f67,False,0,-1
fbfa,f83f,fc00,fe1c,False,0,-540
0114,1839,1842,184d,False,0,-11
825e,16ae,1688,167b,False,0,13
7903,f2cf,769e,769f,False,0,-1
80d6,1d48,1d45,1d3e,False,0,7
92ed,038e,927b,9274,False,0,7
8e2c,0dc2,81a8,82a0,False,0,-248
1cbe,0000,1cbe,1cc6,False,0,-8
a4a4,010c,a4a3,a4a1,False,0,2
81e9,81c6,83af,85d8,False,-1,471
333d,b356,9a40,9b20,False,0,-224
81ce,2482,2480,247f,False,0,1
84d4,0080,8454,814a,False,1,-246
13c0,82f1,1362,1351,False,0,17
6c00,b16b,6c00,6800,False,1,0
dab6,64c5,63dc,63dd,False,0,-1
176a,8182,1752,173e,False,0,20
0125,a38d,a38b,a388,False,0,3
8d42,0283,8ca1,8c72,False,0,47
a6ed,26e2,8980,8816,False,0,362
8288,11ec,119b,1184,False,0,23
9e7f,02a8,9e74,9e72,False,0,2
445c,bdc7,41d4,41d5,False,0,-1
0eb4,901f,8628,84c5,False,0,355
0ab2,8c33,8368,806d,False,0,763
f742,f88c,fc00,fc16,False,0,-22
8438,0790,0358,01ac,False,0,428
8a30,04bd,87a3,87d2,False,0,-47
2b8a,827e,2b89,2b88,False,0,1
01a2,2fdf,2fdf,2fe0,False,0,-1
053b,8720,81e5,8394,False,0,-431
969c,8044,96a0,96be,False,0,-30
dfba,6c68,6bd9,6bd8,False,0,1
0faf,91d7,8bfe,8bff,False,0,-1
03d2,8400,802e,81c0,False,0,-402
84c0,a7fb,a800,a400,False,1,0
93ba,2073,1fef,1fee,False,0,1
8244,2030,202b,202a,False,0,1
b885,2ce5,b7d1,b7d0,False,0,1
a9fa,023c,a9f9,a9f8,False,0,1
1580,949b,0b28,09ca,False,0,350
8183,ad1e,ad1e,ad1f,False,0,-1
9ef8,81ce,9eff,9f04,False,0,-5
8c8b,0e2a,067c,059f,False,0,221
6805,cfcb,67eb,67ea,False,0,1
0860,8a5e,83fc,80ff,False,0,765
94cf,15c7,0bc0,09f0,False,0,464
9b1e,8228,9b2f,9b37,False,0,-8
01a3,906e,903a,9014,False,0,38
09c0,8b9c,83b8,80ee,False,0,714
00b0,a517,a516,a515,False,0,1
14ba,80d3,14ad,1493,False,0,26
0b46,02db,0c5a,0c7e,False,0,-36
8f8c,0001,8f8c,8f0c,False,0,128
076a,8a36,8502,8681,False,0,-383
0000,88b1,88b1,87b1,False,1,-768
80ab,ad6c,ad6c,ad6d,False,0,-1
0150,9919,990e,9904,False,0,10
2bcb,002b,2bcb,2bcc,False,0,-1
9c0c,0001,9c0c,9c04,False,0,8
0190,ada8,ada8,ada7,False,0,1
b9de,447f,4386,4387,False,0,-1
2be5,b4c1,b389,b388,False,0,1
26ea,010f,26eb,26ed,False,0,-2
978c,173e,84e0,844e,False,0,146
7bff,76f8,7c00,7dbe,False,0,-446
0c70,8e53,878c,85e3,False,0,425
7400,df27,73c7,73c6,False,0,1
0d5a,02c8,0e0c,0e33,False,0,-39
2016,9fb7,0f50,0cea,False,0,614
00aa,1292,12a7,12dd,False,0,-54
0138,0bf6,0c49,0ca2,False,0,-89
0e2e,8140,0dde,0d86,False,0,88
6412,d377,63ad,63ac,False,0,1
1834,820a,1824,181c,False,0,8
8040,9f7a,9f7b,9f82,False,0,-7
82bc,1f4d,1f42,1f40,False,0,2
8cdc,8357,8db2,8dc7,False,0,-21
80c4,9447,9453,946d,False,0,-26
8e02,01f0,8d86,8d44,False,0,66
ac49,248b,aa4c,aa4d,False,0,-1
8a8c,038a,88c7,88aa,False,0,29
2a0f,a9fc,10c0,1098,False,0,40
0ce3,8c74,01bc,02f0,False,0,-308
a810,1618,a7be,a7bf,False,0,-1
7394,7be9,7c00,7ce7,False,0,-231
0576,8064,0512,01a2,False,1,-144
8167,1b60,1b55,1b4a,False,0,11
a30c,229d,92f0,9378,False,0,-136
013c,253e,253f,2541,False,0,-2
fb26,f3e3,fc00,fc8f,False,0,-143
a078,022a,a074,a072,False,0,2
0298,89ab,885f,8805,False,0,90
626f,e972,e7ac,e7ad,False,0,-1
8318,20f5,20ef,20ee,False,0,1
dcee,686a,6798,6799,False,0,-1
1f47,a417,a08a,a08b,False,0,-1
a78e,8306,a791,a792,False,0,-1
8110,a068,a06a,a06d,False,0,-3
1ac4,835a,1aa9,1aa7,False,0,2
003e,1408,140c,142a,False,0,-30
8c3a,0aec,8310,8062,False,0,686
8216,141b,13f3,13d4,False,0,31
a5d6,8209,a5d8,a5d9,False,0,-1
1414,845c,139c,139d,False,0,-1
